Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0.18,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),1.81,Since 2021,http://wits.worldbank.org/WITS/,,,,0.292
1,1.2,Percentage of none duty-free tariff lines on ICT goods imported from other Asia-Pacific economies (%),0.28,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),58.82,Since 2021,http://wits.worldbank.org/WITS/,,,,
1,1.3,Not a signatory to the WTO ITA I and ITA II,1,Lack of Participation in Information Technology Agreement (ITA) and in ITA Expansion Agreement (ITA II),"Lack of Participation in Information Technology Agreement (ITA) and in ITA Expansion Agreement (ITA II).

Armenia has fulfilled the necessary internal procedures on acceding to the WTO Information Technology Agreement (ITA I). An international agreement signed or subject to accession by the Republic of Armenia under RA Law on International Agreements shall become binding on the Republic of Armenia through ratification by the National Assembly of the Republic of Armenia or approval of the President of the Republic.
At the moment, it is in the process of finishing the necessary domestic procedures.",Last reviewed in October 2024,https://www.wto.org/english/tratop_e/inftec_e/itscheds_e.htm,,,,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0.25,Decision of the EEC Board No. 115 : On the application of an anti-dumping measure by imposing an anti-dumping duty on aluminum tapes coming from the Republic of Azerbaijan and the People's Republic of China and imported into the customs territory of the Eurasian Economic Union,"Since October 2020, the Eurasian Economic Commission has introduced an anti-dumping measure against aluminum alloy strips (760611) from Azerbaijan and China. As a member state, Armenia enforces this measure.","Since October 2020, as amended in August 2024",https://remedies.eaeunion.org/dimd/ru/security/actions/card/65f1a956b672cc55b9acf71c ,https://docs.eaeunion.org/docs/ru-ru/01527359/err_24092020_115,,,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0,"Law on Trade Remedies (Anti-Dumping, Safeguard, and Countervailing Duties) 2002","Since adoption, this law implements trade remedies to protect domestic industries from unfair trade practices like dumping and subsidies. As per the amendment of 2017, safeguard duties affect foreign businesses exporting ICT products. No specific safeguard duties targeting ICT products.","Since July 2002, last amended in January 2017",https://cis-legislation.com/document.fwx?rgn=27341,,,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,0,Law on Public Procurement 2016,"Since 2016, the law regulates the procurement process for government contracts. As per the amendment of 2022, the are no measures regarding foreign exclusions from public procurement related to ICT goods and services. Article 7 (Equal paticipation in procurement) provides that any person, irrespective of the fact of being a foreign natural person, an organisation or a stateless person, shall have equal right to participate in the procurement process. 

However, participation of any person (persons) — resident of any country — in the procurement process may be restricted only by the Decision of the Government of the Republic of Armenia, where it is necessary to ensure the national security and defence of the Republic of Armenia. The notice must clearly communicate whether participation is open to everyone or if there are specific restrictions based on the national security and defence. If it is open to all, the terms cannot be modified after publication. If there are restrictions, those must be explicitly stated.","Since December 2016, last amended in April 2022",https://gnumner.minfin.am/website/images/original/0d2dc151.docx,,,,0.192
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",0,Law on Public Procurement 2016,"Since 2016, the law regulates the procurement process for government contracts. As per the amendment of 2022, the are no specific measures or requirements regarding using specific encryption in order to win tenders. 

Article 34 concerns evaluation of bids, providing that bids are evaluated based on the criteria outlined in the invitation. Bids that meet the conditions are considered satisfactory; those that do not are unsatisfactory and rejected. The selected bidder is determined by either:
(1) Choosing the lowest price proposal among satisfactory bids, or
(2) Using a method that combines the total score from the price proposal and non-price criteria. Non-price criteria must relate to the contract subject, and their relative weights are detailed in the invitation.","Since December 2016, last amended in April 2022",https://gnumner.minfin.am/website/images/original/0d2dc151.docx,,,,
2,2.3,Limitations in procurement bidding,1,Law on Public Procurement 2016,"Since 2016, the law regulates the procurement process for government contracts. As per the amendment of 2022, local companies are given preferential treatment, restricting foreign participation in certain strategic sectors.

Article 15 of Armenia’s Law on Procurement provides the framework for preferential treatment in procurement for local entities. According to the law, domestic suppliers may receive advantages in procurement procedures to support local business involvement, particularly when it aligns with public policy objectives. Specifically, the law allows procurement processes to be structured in a way that prioritizes or offers additional points to local suppliers, under certain conditions prescribed by the Armenian government​.","Since December 2016, last amended in April 2022",https://gnumner.minfin.am/website/images/original/0d2dc151.docx,,,,
2,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)",0.50,A signatory of the WTO GPA AND covered CPC 752 ,"Armenia became a Member of the WTO Agreement on Government Procurement (GPA) on 15 September 2011, being the first WTO Member of the CEECAC region to join. Subsequent to the re-negotiation of the GPA, Armenia submitted its instrument of acceptance of the Protocol Amending the Agreement on Government Procurement on 7 May 2015, and the revised Agreement entered into force in Armenia on 6 June 2015. 

Regarding Annex 5 (Services), Armenia has covered the United Nations Provisional Central Product Classification (CPC Prov.) 752 Telecommunication Services as contained in document MTN.GNS/W/120. However, CPC 754 and CPC 84 are not covered. ","Since September 2011
","https://www.wto.org/english/tratop_e/gproc_e/memobs_e.htm;

https://e-gpa.wto.org/en/GPACoverage/Annex5/5",,,,
3,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)",0,Law on Foreign Investments 1994,"Since 1994, the law provides a general framework for foreign investments in Armenia, offering national treatment to foreign investors. As per the amendment of 2007, there are no measures regarding limitations on foreign equity relevant digital goods and services. The legislation of the Republic of Armenia may define those areas of the Republic of Armenia, wherein the activities of foreign investors and enterprises with foreign investment are limited or prohibited due to requirements of national security (Article 6). ","Since June 1994, last amended in July 2020",https://www.mfa.am/filemanager/Statics/36_en.pdf,,,,0.375
3,3.2,Joint venture requirements,0,Law on the Protection of Economic Competition 2001,"Since 2000, this law ensures fair competition in the market. It prohibits anti-competitive practices. For foreign entities, the law applies equally, but large foreign firms may face scrutiny to prevent market dominance.

The law does not specifically govern joint ventures. Currently, there is no specific regulation provide for a joint venture as an independent legal entity.",Since September 2001,"https://aipo.am/en/pages/show/TMPP#:~:text=Law%20of%20the%20Republic%20of%20Armenia%20on%20Protection%20of%20Economic%20Competition,-Laws&text=This%20Law%20regulates%20the%20economic,utility%20model%20and%20industrial%20design.",,,,
3,3.3,Nationality or residency requirements for board of directors or managers,0,Law on Foreign Investments 1994,Armenia's Law on Foreign Investments does not impose nationality or residency requirements for members of the board of directors or managers of companies with foreign investments. Foreign investors are permitted to establish and manage enterprises in Armenia without the obligation to appoint Armenian nationals or residents to these positions. This approach aligns with Armenia's commitment to providing a favorable investment climate for foreign entities.,"Since June 1994, last amended in July 2020","https://www.arlis.am/DocumentView.aspx?DocID=173482#:~:text=Making%20foreign%20investments%20by%20established,of%20the%20Republic%20of%20Armenia.&text=Foreign%20investments%20shall%20be%20appraised,the%20foreign%20investor%20so%20wishes.",,,,
3,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ",0.25,Law on Foreign Investments 1994,"Since 1994, the law provides a general framework for foreign investments in Armenia, offering national treatment to foreign investors. As per the amendment of 2020, certain sectors are subject to screening and approval processes based on national security concerns. 

Article 7 specifies that foreign investments may be subject to restrictions or prohibitions in sectors related to national security, defense, and public order. It states that the Government of the Republic of Armenia may determine specific areas where foreign investments are limited or prohibited to protect national interests.

Article 8 requires foreign investors to comply with Armenian laws and regulations, including those pertaining to environmental protection, public health, and safety standards. It emphasizes that foreign investments must not contravene the legal framework of the Republic of Armenia.

Armenia's Law on Foreign Investments does not explicitly mandate a formal screening process for foreign investments and acquisitions. However, there is a One-Stop Shop system established by ISC (Investment Support Center) in place that helps regulate the investment process for foreign entities.","Since June 1994, last amended in July 2020",https://www.arlis.am/,,,,
3,3.5,Commercial presence requirements to offer cross-border services in sectors relevant to digital trade,0,Law on Electronic Commerce 2016,"Since 2016, this law regulates online sales and transactions, including consumer protection and payment processing. Foreign e-commerce platforms can operate with minimal restrictions, provided they comply with local consumer laws. There are no specific commercial presence requirements in order to offer cross-border services relevant to digital trade or any ICT sectors.","Since December 2016, last amended in May 2020","https://www.arlis.am/,",https://www.trade.gov/country-commercial-guides/armenia-ecommerce,,,
4,4.01,Patent application issues,1,Law on Patents 1999,"Since 1999, the law regulates patent registration and protection, allowing both local and foreign inventors to secure patents. There are no major restrictions on foreign companies. Article 6 prescribes Rights of foreigners that in accordance with international agreements or on the principle of reciprocity, foreign individuals and organizations enjoy the rights provided for by this law and bear responsibility on an equal footing with the citizens and organizations of the Republic of Armenia.

However, Article 40 prescribes the requirements submitted to the application. The application shall include documents, for example, an application for obtaining a license; description of the invention; the definition of the claim of the invention; drawings and other materials; and a brief description of the invention. Attached to the application are:
1) power of attorney, if it was submitted through a patent attorney or representative, unless otherwise provided by law;
2) Armenian translation of application documents
3) the document confirming the payment of the state duty established by law, and if the state duty was paid at a reduced rate, also a document confirming the grounds for payment at the reduced rate as of the date of payment of the state duty.

Moreover, Article 80 (Representation of foreign persons) prescribes that foreign natural persons and organizations that do not have a permanent place of residence or a real and operating industrial or commercial establishment in the territory of the Republic of Armenia (hereinafter referred to as ""foreign persons""), conduct matters related to the acquisition and protection of their rights in the state authorized body through a representative.","Since December 1999, last amended in June 2021

",https://aipo.am/hy/pages/show/patentlaw,,,,"0,139"
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,Law on Patents 1999,"Since 1999, the law regulates patent registration and protection, allowing both local and foreign inventors to secure patents. There are no major restrictions on foreign companies.

Article 17 addresses the unauthorized use of patented industrial property, defining it as an infringement. When infringement occurs, the patent owner or, if permitted by contract, an exclusive or non-exclusive licensee, can demand the cessation of the infringing activity. The infringer is also required to compensate the patent owner for any resulting losses, following Armenian legislation.

Article 25 allows any person to lodge an appeal against the grant of a patent during the universal disclosure period of the patent application. Appeals must be reasoned and submitted within a four-month timeframe after the official publication of the patent application. Upon receiving an appeal, the Office sends a copy to the applicant and requests any relevant comments. The procedural aspects of filing, lodging, and reviewing appeals are defined by the Office.

Article 36 addresses the ""Responsibility for Infringement of the Rights of the Creators of Inventions, Utility Models, and Industrial Designs."" This article describes the penalties and responsibilities for those who unlawfully disclose or usurp inventors' rights before official publication, outlining provisional measures that protect the confidentiality and rights associated with the patent application process.

These articles collectively establish a framework for the enforcement of patent rights in Armenia, providing patent holders with legal avenues to protect their inventions and seek remedies against infringement.","Since December 1999, last amended in June 2021

",https://aipo.am/hy/pages/show/patentlaw,,,,
