Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0.004,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),0.04,Since 2022,http://wits.worldbank.org/WITS/,,,,0.100
1,1.2,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),91.77,Since 2022,http://wits.worldbank.org/WITS/,,,,
1,1.3,Not a signatory to the WTO ITA I and ITA II,0,Information Technology Agreement (ITA) and in ITA Expansion Agreement (ITA II),Australia is a signatory of the 1996 WTO Information Technology Agreement (ITA). The ITA provides for participants to completely eliminate duties on IT products covered by the Agreement. The country also agreed on the expanded coverage list in 2015.,"Since 1997;

Since 2015",https://www.wto.org/english/tratop_e/inftec_e/itscheds_e.htm,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/MIN15/25.pdf&Open=True,,,
1,1.4,Not a signatory to the WTO ITA I and ITA II,0.50,Customs Act 1901 ,"Under the powers granted by the Customs Act 1901, a Commissioner leads the Anti-Dumping Commission which manages antidumping and countervailing duties. From December 2014, the Commission imposed antidumping duties on Power Transformers (HS 8504.22 and 8504.23) against Indonesia and Taiwan Province of China (as per the latest revision in September 2020). In September 2022, the Commission re-imposed  antidumping duties on PVC Flat Electric Cables (HS 8544.49.20) against China.","Since October 1901, last amended October 2024",https://www.legislation.gov.au/C1901A00006,"https://www.industry.gov.au/regulations-and-standards/anti-dumping-and-countervailing-system/anti-dumping-commission-measures;

https://www.industry.gov.au/regulations-and-standards/anti-dumping-and-countervailing-system/anti-dumping-commission-current-cases;

https://www.industry.gov.au/trade/anti-dumping-review-panel/past-anti-dumping-review-panel-reviews/pvc-flat-electrical-cables-exported-peoples-republic-china",https://www.wto.org/english/res_e/statis_e/itip_e.htm ,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,0.5,"Public Governance Performance and Accountability Rule 2014;

Commonwealth Procurement Rules 2024;

Telecommunications Act 1997;

Security of Critical Infrastructure Act 2018","In general, Australia does not exclude foreign firms from public procurement. At the federal level, officials from corporate and non-corporate Commonwealth entities listed in the Public Governance, Performance, and Accountability (PGPA) Rule 2014 must comply with the Commonwealth Procurement Rules (CPRs) (CPRs 2.1-2.2). CPRs contain a non-discrimination principle, which provides that "" All potential suppliers to government must, subject to these CPRs, be treated equitably based on their commercial, legal, technical and financial abilities and not be discriminated
against due to their size, degree of foreign affiliation or ownership, location, or the origin of
their goods and services."" (CPRs 5.4).

However, the Australian Government retains the discretion to exclude foreign firms from participating in critical national infrastructure. This power has been exercised in the past for national security reasons, as seen with the 2012 ban on Huawei from the National Broadband Network (NBN) rollout. Similarly, in 2018, both Huawei and ZTE were banned from Australia’s 5G rollout on similar grounds. In 2023, TikTok was also banned from federal government devices due to security concerns under the Protective Security Policy Framework.

","Since June 2014, last amended in September 2024;

June 2024;

Since April 1997, last amended in October 2024;

Since April 2018, last amended in October 2023","https://www.legislation.gov.au/F2014L00911/latest/text
",https://www.legislation.gov.au/F2024L00627,https://www.legislation.gov.au/C2004A05145,https://www.legislation.gov.au/C2018A00029,0.400
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",0,Commonwealth Procurement Rules 2024,No requirements to surrender source codes or use certain encryption standards are found as a condition to win tenders.,Since June 2024,https://www.legislation.gov.au/F2024L00627/latest/text,,,,
2,2.3,Limitations in procurement bidding,0.5,Australian Jobs Act 2013,"There are no limitations in procurement bidding; however, the Australian Industry Participation (AIP) plan ensures that Australian industry is ""given a full, fair, and reasonable opportunity to participate"" in certain government-funded and major projects. The plan does not affect the commercial decisions of funding recipients or mandate the use of Australian industry.

The AIP plan applies to government grants, contracts, and payments of $20 million AUD or more, as well as to major projects valued at $500 million AUD or above. For projects subject to an AIP plan, procurement entities cannot request bids for key goods or services unless they have a broad understanding of Australian entities' capacity and capability to supply those goods or services.","Since June 2013, last amended in October 2024",www.legislation.gov.au/C2013A00069,https://www.industry.gov.au/regulations-and-standards/australian-industry-participation,https://ministers.treasury.gov.au/ministers/julie-collins-2022/media-releases/new-procurement-rules-deliver-more-small-business,,
2,2.3,Limitations in procurement bidding,0.5,"Commonwealth Procurement Rules 2024

","The Commonwealth Procurement Rules (CPRs) outline the Australian Government's commitment to ensuring that non-corporate Commonwealth entities procure at least 25% of contracts by value from small and medium-sized enterprises (SMEs) for contracts valued up to $1 billion (5.6). Additionally, the Government has set a target for these entities to procure 40% of contracts by value from SMEs for contracts valued up to $20 million (5.7). SMEs include Australian and New Zealand firms with fewer than 200 full-time equivalent employees.

Procurement must also evaluate the broader economic benefits for projects valued over $4 million for non-construction goods and services, and over $7.5 million for construction services. This includes assessing how the procurement can increase productivity, better utilise under-employed resources, and support the development of key industry capabilities.","Since June 2024

",https://www.legislation.gov.au/F2024L00627,,,,
2,2.3,Limitations in procurement bidding,0.5,Indigenous Procurement Policy 2015,"The Commonwealth Indigenous Procurement Policy (IPP) promotes Indigenous business participation through annual targets, the Mandatory Set Aside (MSA), and the Mandatory Minimum Indigenous Participation Requirements (MMR). The MSA requires Indigenous businesses to have the first opportunity to demonstrate value for money for contracts between $80,000 and $200,000, or in remote areas. MMR applies to contracts over $7.5 million in 19 specific industry sectors, mandating Indigenous involvement.","Since March 2015, last amended December 2020
",https://www.niaa.gov.au/resource-centre/indigenous-procurement-policy,https://www.niaa.gov.au/indigenous-affairs/economic-development/indigenous-procurement-policy-ipp,,,
2,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)",0,WTO Government Procurement Agreement (GPA),"Australia became the 48th member of the World Trade Organization Agreement on Government Procurement when the Agreement entered into force in Australia on 5 May 2019. Annex 5 (Services) to the Agreement states that ""this Agreement covers all services procured by the entities listed in Annexes 1 [Central Government Entities], 2 [Sub-Central Government Entities] and 3 [Other Entities]."" Annex 5 only excludes plasma fractionation services, government advertising services, health and welfare services, and research and development services.","Since 2019
","https://www.dfat.gov.au/trade/organisations/wto/wto-agreement-on-government-procurement#:~:text=Australia's%20GPA%20Accession,Committee%20on%2017%20October%202018",https://e-gpa.wto.org/en/Annex/Details?Agreement=GPA113&Party=Australia&AnnexNo=5&ContentCulture=en&AdvancedSearch=False,,,
