Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0.026,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),0.26,Since 2022,http://wits.worldbank.org/WITS/,,,,0.050
1,1.2,Percentage of none duty-free tariff lines on ICT goods imported from other Asia-Pacific economies (%),0,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),77.21,Since 2022,http://wits.worldbank.org/WITS/,,,,
1,1.3,Not a signatory to the WTO ITA I and ITA II,0.50,Lack of participation in ITA Expansion Agreement (ITA II),Indonesia is a signatory of the 1996 WTO Information Technology Agreement (ITA). The ITA provides for participants to completely eliminate duties on IT products covered by the Agreement. Indonesia has not signed the ITA-II Agreement which was concluded in 2015 to expand the product coverage of the ITA.,"Since 1996, updated in 2015",https://www.wto.org/english/tratop_e/inftec_e/itscheds_e.htm,https://www.wto.org/english/news_e/news15_e/ita_16dec15_e.htm,,,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0,"Regulation of the Minister of Trade No.34/M-DAG/PER/6/2014 on Antidumping Measure, Compulsory Measure, and Trade Safeguard Measure 2011;

Komite Anti Dumping Indonesia (KADI) website","Regulation of the Minister of Trade of the Republic of Indonesia Number 34/M-DAG/PER/6/2014, primarily outlines the organization and work procedures of the Indonesian Trade Security Committee (KPPI). It does not explicitly mention ICT-related goods (Information and Communication Technology) or any specific articles related to ICT. Instead, it provides a general framework for handling trade security measures, including investigations into serious losses or threats to domestic industries caused by surges in imports.

- Article 2: KPPI is tasked with addressing issues related to serious losses or threats to domestic industries caused by a surge in imports. If ICT-related goods are identified as causing such issues, KPPI would handle the investigation.
- Article 3: KPPI's functions include: Conducting investigations into serious losses or threats to domestic industries caused by imports. Collecting and processing evidence related to such investigations. Recommending trade security actions to the Minister of Trade.
- Article 12: The Sub Committee of Investigation in the Sector of Industry and Mining is responsible for investigating serious losses or threats to domestic industries in the industrial and mining sectors. ICT-related goods, being part of the industrial sector, could fall under this category.
- Article 14: Financing for KPPI's activities, including investigations into specific goods (potentially ICT-related), is covered by the National Budget of the Ministry of Trade.

From the Penyelidikan Berjalan (Ongoing Investigations) section of the KADI website, there are currently no explicit cases related to ICT (Information and Communication Technology) goods. The ongoing investigations listed are:
- PP Copolymer
- Benang Filamen Sintetik (Synthetic Filament Yarn)
- Kertas Duplex (Duplex Paper)
- PP Homopolymer
","Since July 2011;

Last reviewed in January 2025",http://www.flevin.com/id/lgso/translations/JICA%20Mirror/english/4738_PP_34_2011_e.html,https://kadi.kemendag.go.id/penyelidikan-berjalan/ppcopolymer,https://web.wtocenter.org.tw/file/PageFile/388456/GADPN384IDN.pdf,https://trade-remedies.wto.org/en/antidumping/measures#,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,1,Presidential Regulation No.16 on Government Procurement of Goods and Services 2018,"The Presidential Regulation No.54 on Government Procurement of Goods and Services 2010 has been revoked and replaced by Presidential Regulation 16/2018 where there is currently a second revision of Presidential Regulation 16/2016 (amendment) 

Presidential Regulation No.16 Year 2018 on Government Procurement and its amendments:
-	The Presidential Regulation underlines the importance of key procurement principles, such as transparent, open, effective, competitive and accountable as well  as value for money.
-	According to article 63, foreign companies may participate in international procurement under the following thresholds:
○	Rp 1 trillion (approx. 60.8 million USD*) for construction works;
○	Rp50 billion (approx. 3.01 million USD*) for goods and other services; and
○	Rp25 billion (approx. 1.52 million USD*) for consulting services.
-	Furthermore, foreign companies are also allowed to participate under such thresholds in a case there are no qualified domestic companies to fulfill requirements/technical specification. Therefore, the participation of foreign companies is not restricted to extremely large bids.
-	In the same article, it is stipulated that international procurement is announced on the website of the Ministries/Institutions/Local Governments and the international community website. 

Article 66 mentions the use of domestic products in government procurement, however, there is also the possibility to procure imported goods in the event that the goods cannot be produced domestically or domestic production volume is unable to meet the demand.

Foreign business actors can also participate in procurement in Indonesia below a predetermined threshold value as long as there are no capable and qualified national business actors. This means that Indonesian government procurement does not exclude foreign business actors in general or a group of foreign business actors or only allow foreign business actors for procurement packages above the threshold.","Since March 2018
",https://peraturan.bpk.go.id/Home/Details/73586/perpres-no-16-tahun-2018,,,,1
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,1,"President Instruction No. 22/2022 on Accelerating the Increase in the Use of Domestic Products and Products from Micro, Small Enterprises, and Cooperatives to Support the Success of the National Movement ""Proudly Made in Indonesia"" in the Implementation of Government Procurement of Goods and Services 2022","On 30 March 2022, the government of Indonesia issued President Instruction No. 22/2022, mandating all government agencies to spend at least 40% of their budget on local products produced by SMEs. According to the regulation, the objective is to increase the use of local products to support the ""Proud of Using Products Made in Indonesia"" campaign. The regulation entered into force on 30 March 2022.","Since March 2022
",https://peraturan.bpk.go.id/Details/204320/inpres-no-2-tahun-2022,,,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,1,"Regulation of the Government of the Republic of Indonesia No.29 on Industrial Empowerment 2018
;
Regulation of the Government of the Republic of Indonesia No.28 on the Implementation of the Industrial Sector 2021
;
Regulation of the Government of the Republic of Indonesia No.46 on Amendments to Regulation of the Government of the Republic of Indonesia  No.28 on the Implementation of the Industrial Sector 2023","Under the Regulation of the Government of the Republic of Indonesia No.29 of 2018 on Industrial Empowerment 2018 as amended by Government Regulation (PP) No.28 of 2021
Maintenance of Industrial Fields, Articles 57 and 58 specify the obligation of utilizing domestic products for government procurement if funded by the state or regional budgets, including details on compliance.

According to Article 57, the following entities are required to utilize domestic products in the procurement of goods and services: State institutions, ministries, non-ministerial government institutions, other government institutions, and regional working units when the procurement is financed by:
- The state budget (APBN) or regional budget (APBD).
- Domestic or foreign loans or grants.
State-owned enterprises (SOEs), other state-owned legal entities, regionally-owned enterprises, and private enterprises in the procurement of goods and services when:
- Financing is derived from the state budget or regional budget.
- Work is conducted under a cooperation scheme between the Central Government and/or Local Governments with enterprises.
- The procurement involves the exploitation of state-controlled resources (e.g., natural resources, telecommunications frequencies, etc.).

Article 58 specifies that the obligation to utilize domestic products applies at both the planning and implementation stages of the procurement process.
Entities must prepare an annual plan for the goods and services they need, including technical specifications, amounts, prices, and procurement schedules. 

Article 61 requires that domestic products must be utilized if the combined value of their National Contribution Value (TKDN) and Corporate Contribution Value is at least 40%. The TKDN value of the domestic product must be at least 25%.

Article 64 mandates price preferences for domestic products:
- A maximum 25% price preference for goods with a TKDN value of at least 25%.
- A maximum 7.5% price preference for construction services provided by domestic companies over foreign competitors.","Since July 2018, last amended in February 2021
; 
Since February 2021
;
Since September 2023
",https://peraturan.bpk.go.id/Details/89213/pp-no-29-tahun-2018,https://peraturan.bpk.go.id/Details/161862/pp-no-28-tahun-2021,https://peraturan.bpk.go.id/Details/265189/pp-no-46-tahun-2023,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,1,"Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.41/PER/M.KOMINFO/10/2009 on Procedures for Assessing the Achievement of Domestic Component Levels in the Implementation of Telecommunications 2009
","Decree No. 41/PER/M.KOMINFO/10/2009: Article 1(4) and subsequent sections define and outline the procedures for assessing domestic content (TKDN) in telecommunications.
Article 1(4): Definition of Level of Domestic Component (TKDN). TKDN (LDC) is defined as the portion of domestic components in goods, services, or a combination of both, used in telecommunications.
It includes:
- Goods: Telecommunication materials and equipment.
- Services: Design, engineering, and other supporting services.
- Combination: A mix of goods and services.
The domestic component must involve local manufacturing, fabrication, assembling, work settlement, and services performed domestically, using local experts and software.

Article 3(1) and 3(2) of Calculation of TKDN and Foreign Component provides the formula for calculating the Level of Domestic Component (TKDN) and explicitly identifies the Foreign Component (FC) as part of the calculation. The formulas are:

Formula 1:
% TKDN (Capex) = ((Total Capex − Foreign Component Capex) /Total Capex) × 100 %

Formula 2:
% TKDN (Capex) = (Domestic Component Capex / Total Capex) ×100%

This explicitly separates foreign components (e.g., imported goods, foreign services, foreign software) from domestic components, ensuring that foreign elements are excluded from the TKDN percentage.

Article 4(1) and 4(2) of Proof of Domestic Expenditure requires telecommunication providers to show proof of domestic expenditure for telecommunication materials/equipment sourced from domestic vendors. It also mandates that the percentage of TKDN for these materials/equipment must be authenticated by:
- An authorized agency or
- An independent survey institute assigned by the government.
This ensures that foreign components are excluded unless they are explicitly verified as domestic.

Article 5 of Verification of Domestic Components  mandates that any assessment of TKDN using telecommunication materials/equipment from domestic providers must be verified by:
- An authorized agency, or
- An independent survey institute.
This verification process ensures that foreign components are not misrepresented as domestic.

Article 6 of Local Content Threshold states that telecommunication materials/equipment with ≥ 50% local content are considered to have 100% local content for TKDN purposes. This provision effectively excludes foreign components from being counted as domestic unless they meet the 50% threshold.",Since October 2009,https://peraturan.bpk.go.id/Details/159035/permenkominfo-no-41permkominfo102009-tahun-20,https://peraturan.infoasn.id/peraturan-menteri-perindustrian-nomor-102-m-ind-per-10-2009/,,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,1,Regulation of the Minister of Industry No. 15/M-IND/PER/3/2016 on Specification Standards and Price Standards for Domestic Transmission Towers and Conductors to Accelerate the Development of Electricity Infrastructure 2016,"Regulation No. 15/M-IND/PER/3/2016 primarily focuses on Tower Transmission and Conductor products, the principles outlined in Articles 2, 4, 6, 7, and 8 regarding the prioritization of domestic content (TKDN) and compliance monitoring can be applied to ICT goods and digital services in public procurement.

Article 2 states that Tower Transmission and Conductor products must comply with Standar Spesifikasi (Standard Specifications) and Standar Harga (Standard Prices). The specifications and pricing standards are likely designed to favor domestic products, indirectly excluding foreign goods that do not align with these standards.

Article 4 establishes a benchmark pricing system for the procurement of domestic Transmission Towers and Conductors. This ensures that public procurement adheres to fair and consistent pricing, avoiding overpricing or underpricing. By mandating adherence to Standard Prices for domestic products, Article 4 indirectly excludes foreign products that may not align with these price benchmarks. This is because foreign products are not explicitly included in the pricing standards, and the regulation prioritizes domestic goods. The Standard Prices are tied to the domestic content requirements (TKDN) outlined in Article 6. 

Article 6 article mandates that Tower Transmission and Conductor products used in the acceleration of electricity infrastructure must meet a minimum Tingkat Komponen Dalam Negeri (TKDN) (Domestic Component Level) of 40%. This provision explicitly prioritizes domestic products and components, effectively excluding foreign goods and services that do not meet the required TKDN threshold from public procurement, because only products meeting the minimum TKDN threshold (40%) are eligible for procurement, and their prices must align with the standards in Lampiran I and II.

Article 7: The TKDN value must be verified and certified through a formal process, as outlined in this article. Ensuring that only products meeting the domestic content requirements are eligible for procurement, further excluding foreign products that fail to meet these standards.","Since March 2016
",https://peraturan.bpk.go.id/Details/167005/permenperin-no-15m-indper32016-tahun-2016,,,,
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",1,Regulation of the Government of the Republic of Indonesia No.71 on the Provision of Electronic System and Transaction 2019,"Government Regulation No. 82 of 2012 on the Implementation of System and Electronic Transactions. Specifically, Article 8: Requires that providers who develop software specifically for a government agency must submit the source code and related documentation to the agency. If direct submission is not feasible, the source code and documentation should be entrusted to a reliable third party. We are of the view that the notes contained in the column Findings/ Inquiries regarding the sub-pillars may provide some insight into the content of Article 8. Article 9: Emphasizes the confidentiality of the source code, allowing for inspection only if necessary for investigation purposes. 

Government Regulation No. 71 of 2019 on the Implementation of System and Electronic Transactions regarding the Implementation of Electronic Systems and Transactions, article 9 specifies that software developers providing custom software for public electronic systems must submit source code and documentation to the relevant public institution. If internal storage is not feasible, a third party trusted for source code safekeeping can be used. This ensures government institutions maintain control over critical software. This regulation do not explicitly link trade secrets to public procurement but imply the need for protecting sensitive information. For instance, Article 15 emphasizes maintaining the confidentiality, integrity, and availability of personal data and related documentation. The first and second sentences in bullet point 2.2.1(a) are true because can be referred to Article 9 paragraph (1) and (3). However, the next sentence is an author's interpretation that is not included in the body or explanatory section of PP 71/2019.

Based on Article 103 paragraph (2) of Government Regulation No. 71/2019, Government Regulation No. 82/2012 has been revoked. Therefore, following the legal principle lex posterior derogat legi priori (a newer regulation overrides an older one), the provisions under Government Regulation No. 71 of 2019 now serve as the main legal reference for the implementation of electronic systems and transactions. 

",Since October 2019,https://peraturan.bpk.go.id/Home/Details/122030/pp-no-71-tahun-2019,https://jdih.kominfo.go.id/produk_hukum/view/id/6/t/peraturan+pemerintah+republik+indonesia+nomor+82+tahun+2012,,,
