Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score,
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0.13,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),1.3,"Since 2022
",http://wits.worldbank.org/WITS/,,,,0.160,
1,1.2,Percentage of none duty-free tariff lines on ICT goods imported from other Asia-Pacific economies (%),0.06925,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),67.23,"Since 2022
",http://wits.worldbank.org/WITS/,,,,,
1,1.3,Not a signatory to the WTO ITA I and ITA II,0.50,Lack of participation in ITA Expansion Agreement (ITA II),"As part of its WTO accession commitments package, Kazakhstan agreed to join the Information Technology Agreement (ITA) upon its accession to the WTO in 2015. Thus, Part I, Section II of Kazakhstan's Schedule of Concessions and Commitments on Goods contains its commitment to reducing to zero within two years after its accession to the WTO, through equal annual reductions, the customs duty rates for products covered by the ITA contained in the Ministerial Declaration on Trade in Information Technology Products of 13 December 1996 (ITA I). Kazakhstan has not joined/implemented ITA II.",Since 2015,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/ACC/KAZ93A1-02.pdf&Open=True,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/ACC/KAZ93.pdf&Open=True,,,,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0.25,"Decision of the EEC Board No. 115 : On the application of an anti-dumping measure by imposing an anti-dumping duty on aluminum tapes coming from the Republic of Azerbaijan and the People's Republic of China and imported into the customs territory of the Eurasian Economic Union (О применении антидемпинговой меры посредством введения антидемпинговой пошлины в отношении алюминиевой ленты, происходящей из Азербайджанской Республики и Китайской Народной Республики и ввозимой на таможенную территорию Евразийского экономического союза)","The trade defence measures, including antidumping, countervailing and safeguard measures in force in Kazakhstan do not currently apply to ICT products. Since October 2020, the Eurasian Economic Commission has introduced an anti-dumping measure against aluminum alloy strips (760611) from Azerbaijan and China.","Since October 2020, as amended in August 2024",https://remedies.eaeunion.org/dimd/ru/security/actions/card/65f1a956b672cc55b9acf71c ,https://docs.eaeunion.org/docs/ru-ru/01527359/err_24092020_115,,,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,0,"Law No. 434-V on Public Procurement (Қазақстан Республикасының Заңы 2015 жылғы 4 желтоқсандағы № 434-V ҚРЗ) 2016 as last amended by Law No. 223-VII, 2023","According to Article 14 of Law No. 434-V on Public Procurement of Kazakhstan, national treatment is granted to foreign goods, works, and services in public procurement under the conditions specified by international treaties ratified by Kazakhstan. The Government of Kazakhstan retains the authority to establish temporary exemptions from national treatment for up to two years in order to protect the domestic market, ensure national security, or promote domestic economic development. If adopted, these exemptions could impact foreign enterprises' participation in public procurement. However, to date, the exemption has not been observed in public procurement related to ICT goods and digital services.","Since January 2016, last amended in June 2024",https://adilet.zan.kz/kaz/docs/Z1500000434/info,http://adilet.zan.kz/eng/docs/Z1500000434,,,0.600,
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",1,"Law No. 418-V ZRK on Informatization (Об информатизации) 2015 as last amended by Law No. 71-VIII, 2024;

Order of the Minister of Defense and Aerospace Industry of the Republic of Kazakhstan No. 53/НК on approval of the Rules for the formation and maintenance of a register of trusted software and electronics industry products, as well as criteria for including software and electronics industry products in the register of trusted software and electronics industry products 2018 (Қазақстан Республикасының Қорғаныс және аэроғарыш өнеркәсібі министрінің 2018 жылғы 28 наурыздағы № 53/НҚ бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2018 жылғы 12 сәуірде № 16750 болып тіркелді.)","According to Article 7(6) of the Informatization Law, the central executive body carrying out state regulation in the field of electronic industry orders the creation of a unified register of trusted software and electronic products. 

According to Article 54(3)(1), for the purposes of state security, only such approved software may be used for public procurement, as well as for critical objects of state and private information and communication infrastructures, including telecommunication infrastructures. To become part of the register, the software applicant must transfer: (i) source program codes for accounting and storage; (ii) source program codes (if any) and; (iii) a set of configurations for the licensed software of ""e-government"" information technology objects, as stated paragraphs 10, 11, 12 and 13 of the Order of the Minister of Defense and Aerospace Industry of the Republic of Kazakhstan No. 53/НК (Rules for the formation and maintenance of a register of trusted products of the electronics and software industry, as well as the criteria for including products of the electronics industry and trusted software in the register of trusted products of the electronics and software industry).","Since November 2015, last amended in June 2024;

Since March 2018",https://adilet.zan.kz/rus/docs/Z1500000418,https://adilet.zan.kz/rus/docs/V1800016750,,,,
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",0,"Law No. 434-V on Public Procurement (Қазақстан Республикасының Заңы 2015 жылғы 4 желтоқсандағы № 434-V ҚРЗ) 2016  as amended by Law No. 223-VII, 2023","According to Article 4(4) of the Law No. 434-V on Public Procurement, the need to respect trade secrets during the public procurement process is emphazised, stating that public procurement must comply with the legal rights of suppliers to their trade secrets until the results are finalized. Furthermore, there is no direct mention of mandatory surrender of source code, encryption, or trade secrets as a condition for public procurement.","Since January 2016, last amended in June 2024",https://adilet.zan.kz/kaz/docs/Z1500000434/info,http://adilet.zan.kz/eng/docs/Z1500000434,,,,
2,2.3,Limitations in procurement bidding,1,"Law No. 434-V on Public Procurement (Қазақстан Республикасының Заңы 2015 жылғы 4 желтоқсандағы № 434-V ҚРЗ) 2016 as last amended by Law No. 223-VII, 2023","According to Article 14 of the Law on Public Procurement, with regard to the goods originating in foreign countries and works, services, respectively performed by foreign potential suppliers, the national treatment will be applied only in cases and upon conditions stipulated by international treaties ratified by Kazakhstan.  The Law prescribes that the Government of Kazakhstan shall have the right to establish exemptions from the national treatment for a period not exceeding two years in order to protect the foundations of the constitutional system, ensure the country's defense and national security, protect the domestic market, develop the national economy and support domestic producers.
","Since January 2016, last amended in June 2024",https://adilet.zan.kz/kaz/docs/Z1500000434/info,http://adilet.zan.kz/eng/docs/Z1500000434,,,,
2,2.3,Limitations in procurement bidding,0,"Law No. 434-V on Public Procurement (Қазақстан Республикасының Заңы 2015 жылғы 4 желтоқсандағы № 434-V ҚРЗ) 2016 as last amended by Law of  No. 223-VII, 2023",Article 39(3) of the Law on Public Procurement provides that with regard to purchase of periodicals on electronic carriers as well as purchase of information provision services by international and (or) foreign information organizations can be carried out through single source method whereby the government decides on the supplier not through a tender process but an ad hoc decision. This is allowed to take place when a tender fails to lead to the conclusion of a public procurement contract. The decisions on single-sourcing may not be transparent nor competitive and could provide opportunities for corruption practices where only the companies known to the contracting authorities will be the successful ones. ,"Since January 2016, last amended in June 2024",https://adilet.zan.kz/kaz/docs/Z1500000434/info,http://adilet.zan.kz/eng/docs/Z1500000434,,,,
2,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)",1,WTO Government Procurement Agreement (GPA),"Upon its accession to the WTO in 2015, Kazakhstan confirmed its intention to join the GPA and agreed to table and submit its offer to GPA Committee within four years of accession. Kazakhstan is currently an observer to the WTO Agreement on Government Procurement and continues negotiating the terms of its accession.",Since 2016,https://www.wto.org/english/tratop_e/gproc_e/memobs_e.htm,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/ACC/KAZ93.pdf&Open=True,,,,
