Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),0,Since 2022,http://wits.worldbank.org/WITS/, , , ,0
1,1.2,Percentage of none duty-free tariff lines on ICT goods imported from other Asia-Pacific economies (%),0,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),100,Since 2022,http://wits.worldbank.org/WITS/, , , ,
1,1.3,Not a signatory to the WTO ITA I and ITA II,0,"WTO Information Technology Agreement (ITA); 

WTO ITA II of 2015 (the ""Ministerial Declaration on the Expansion of Trade in Information Technology Products"")",Singapore is a signatory of the 1996 WTO Information Technology Agreement (ITA). The ITA provides for participants to completely eliminate duties on IT products covered by the Agreement. Singapore is also signatory to ITA II  agreed at the 10th Ministerial Conference of the WTO in Nairobi in December 2015.,"Since 1997;

Since 2016",https://www.wto.org/english/tratop_e/inftec_e/itscheds_e.htm,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S006.aspx?Query=@Symbol=%20(wt/let/175)&Language=ENGLISH&Context=FomerScriptedSearch&languageUIChanged=true#,, ,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0,Countervailing and Anti-Dumping Duties Act 1996,"This act allows the government to investigate and impose duties when there is evidence of unfair trade practices, such as dumping or subsidies causing injury to domestic industries. There are no anti-dumping, countervailing duty or safeguard measures against ICT products.",Since November 1996 last amended in December 2021,"https://sso.agc.gov.sg/Act/CADDA1996;

http://i-tip.wto.org/goods/Forms/TableViewDetails.aspx?mode=modify;",,, ,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,0,"Government Procurement Act (GPA) 1997;

Government Procurement Regulations (GP Regulations) 2014;

Government Procurement (Application) Order (GP Order) 2002","The Government Procurement Act enforces the provisions of the World Trade Organization Agreement on Government Procurement and other international obligations related to public procurement. Section 6 of the Act states that the Minister may for the purposes of implementing the Agreement on Government Procurement and other international obligations of Singapore relating to procurements by Government and public authorities, make regulations to govern procurements subject to the Act. 

Foreign suppliers are granted access to Singapore's public procurement market. The Government Procurement Regulations govern procurements that fall under the Act, outlining the types of procedures that can be used during procurement processes (Part II Procedure leading to award of procurement contract, and Part III Procedure on award of procurement contract). The regulations ensure non-discriminatory access for foreign suppliers, they permit limited tendering or selective tendering in certain circumstances. The Government Procurement (Application) Order identifies the states, authorities, and types of procurement subject to the Act, along with those exempted from its application.  

Both the GP Regulations and GP Order are subsidiary legislation under the Act.","Since 2002 last amended in January 2021;

Since April 2014;

Since 2002 last amended on 8 July 2024",https://sso.agc.gov.sg/Act/GPA1997,https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,https://sso.agc.gov.sg/SL/GPA1997-OR1,,0.040
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",0,"Government Procurement Act (GPA) 1997;

Government Procurement Regulations (GP Regulations) 2014;

Government Procurement (Challenage Proceddings) Regulation 2002;

Government Procurement (Application) Order (GP Order) 2002","Singapore does not implement to use certain type of encryption, source code and trade secrets to win tenders. 

Government Procurement Regulations 6(b): Requires mechanisms that ensure the integrity of requests for participation and tenders, including preventing inappropriate access to sensitive information such as trade secrets.

Government Procurement (Application) Order Paragraph 5(3)(b) allows for exclusions related to intellectual property, which could include protections for trade secrets or sensitive technologies like source code in ICT products.

All procurement requirements, procedures, and evaluation criteria for bids and tenders from a contracting authority must be disclosed to suppliers. According to Regulation 10 of the Government Procurement Regulations, for each procurement, the contracting authority is required to publish a notice of intended procurement on the GeBIZ platform or in the Government Gazette. Additionally, specific rules apply to electronic auctions.","Since 2002 last amended in January 2021;

Since April 2014;

Since May 2002;

SInce 2002 last amended on 8 July 2024",https://sso.agc.gov.sg/Act/GPA1997,https://sso.agc.gov.sg/SL/GPA1997-RG1,https://sso.agc.gov.sg/SL/GPA1997-OR1,https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,
2,2.3,Limitations in procurement bidding,0,"Government Procurement Act (GPA) 1997;

Government Procurement Regulations (GP Regulations) 2014;

Government Procurement (Application) Order (GP Order) 2002","The principles of national treatment and non-discrimination are set out in the Government Procurement Regulations 2014. For instance, an applicable supplier is not to be treated less favourably than any other applicable supplier (Section 4). Most of Singapore's international trade agreements contain Government Procurement chapters, including provisions on national treatment and non-discrimination. According to the authorities, open sourcing and non-discrimination are also the default practices for procurements that are not covered by Singapore's trade agreements.

Government Procurement Act Section 6: Allows the Minister to make regulations regarding government procurement, including setting limitations on foreign participation where national interests or security concerns arise.
A contracting authority is prohibited from using limited tendering to avoid competition or to favor suppliers based in Singapore, or in any way that discriminates against eligible suppliers. If a contracting authority is suspected of violating the competitive bidding rules, a supplier or bidder can file a challenge with the Government Procurement Adjudication Tribunal (""Tribunal"") for the alleged breach of duty by the authority.","Since 2002 last amended in January 2021;

Since April 2014;

Since 2002, last amended on 8 July 2024","https://sso.agc.gov.sg/Act/GPA1997;

https://www.wto.org/english/tratop_e/tpr_e/s413_e.pdf",https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,https://sso.agc.gov.sg/SL/GPA1997-OR1,,
2,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)",0.5,WTO Government Procurement Agreement (GPA),"Although Singapore is a signatory to the WTO Government Procurement Agreement (GPA) since 1997. It ratified the Protocol Amending the WTO Agreement on Government Procurement adopted in March 2012, and the revised GPA entered into force for Singapore on 6 April 2014. Under the revised Agreement, Singapore expanded the coverage of its commitments by including executive search services (CPC 87201). However, its coverage schedules do not include ""telecommunications related services"" (CPC 754) and do not fully cover ""computer related services (CPC 84) and ""telecommunications services"" (CPC 752), which are important service sectors for digital trade.",Since April 2014,https://www.wto.org/english/tratop_e/gproc_e/memobs_e.htm,,,,
3,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)",0,Companies Act 1967;,"There is no ownership restriction for sectors relevant to digital trade, for example, manufacturing of information and communication technology goods and products, computer and related services, and online broadcasting. 

The Companies Act 1967 of Singapore does not specifically limit foreign equity ownership in companies incorporated in Singapore.",Since December 1967 last amended in 2021;,https://sso.agc.gov.sg/Act/CoA1967, ,,,0.492
3,3.2,Joint venture requirements,0,Companies Act 1967;,"Joint ventures can be entered between two companies under the Singapore Companies Act 1967, chapter 50, Section 215AA. Singapore does not mandate joint venture requirement for companies to invest in the country.

Section 215AA of the Companies Act 1967 relates to an offer to acquire all the shares in a company, or all of the shares in any particular class in a company, by 2 or more persons jointly, and does not pertain to whether joint ventures can be entered into between two companies. There are no specific requirements under the Companies Act on a foreign company entering into a joint venture with a local company.",Since December 1967 last amended in 2021;,https://sso.agc.gov.sg/Act/CoA1967;,, , ,
