Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
1,1.1,Weighted average of effective tariff rates applied on ICT goods imported from other Asia-Pacific economies (%),0.65,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),6.47,"Since 2022
",http://wits.worldbank.org/WITS/,,,,0.560
1,1.2,Percentage of none duty-free tariff lines on ICT goods imported from other Asia-Pacific economies (%),0.69,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),42.410304,"Since 2022
",http://wits.worldbank.org/WITS/,,,,
1,1.3,Not a signatory to the WTO ITA I and ITA II,1,Lack of Participation in Information Technology Agreement (ITA) and in ITA Expansion Agreement (ITA II),Vanuatu is not a signatory of the 1996 WTO Information Technology Agreement (ITA).,Last reviewed in September 2024,https://www.wto.org/english/tratop_e/inftec_e/ita_map_e.htm,https://www.wto.org/english/tratop_e/inftec_e/itscheds_e.htm,,,
1,1.4,"Imposing trade defence measures (anti-dumping, countervailing duties and safeguards) on ICT-related products imported by other Asia-Pacific economies",0,Import Duties (Consolidation)(Amendment) Act 2013,"There are no anti-dumping, countervailing duty or safeguard measures against ICT products.",Assented January 2014 Commencement March 2014,http://www.paclii.org/vu/legis/num_act/ida2013395/,https://i-tip.wto.org/goods/Default.aspx,,,
2,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,0,Government Contracts and Tenders Act No.44 1998,"Vanuatu has an open public procurement regime, where discrimination against foreign participation is not allowed. At the time of its accession to the WTO, Vanuatu committed not to impose any discrimination against foreign participation in its government procurement. As of 2018, WTO Trade Policy Report provides that  60% of government procurement is provided by foreign suppliers.

","Since September 1998, last amended January 2020

",http://www.paclii.org/vu/legis/consol_act/gcata342/ ,http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/gcata2019422/,https://www.wto.org/english/tratop_e/tpr_e/s378_e.pdf,,0.080
2,2.2,"Specific requirements on source codes, encryption and trade secrets ",0,Government Contracts and Tenders Act No.44 1998,"There are no requirements to surrender patents, source codes or trade secrets in order to win tenders.","Since September 1998, last amended January 2020


",http://www.paclii.org/vu/legis/consol_act/gcata342/ ,http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/gcata2019422/,,,
2,2.3,Limitations in procurement bidding,0,Government Contracts and Tenders Act No.44 1998,"While since 2012 there a complaint review mechanism for public tenders, there have not been any procurement disputes that ended up before the Vanuatu Supreme Court. The tender process is specified in the Act (Part 5, tender process). ","Since September 1998, last amended January 2020


",http://www.paclii.org/vu/legis/consol_act/gcata342/ ,http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/gcata2019422/,https://www.wto.org/english/tratop_e/tpr_e/s378_e.pdf,,
2,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)",1,Lack of participation in WTO Government Procurement Agreement (GPA),Vanuatu is neither a member nor an observer to the WTO Agreement on Government Procurement.,Last review in September 2024,"https://www.wto.org/english/tratop_e/gproc_e/memobs_e.htm
",,,,
3,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)",1,"Vanuatu Foreign Investment Act No. 25 of 2019 [CAP 248]

","Foreign investment is open for most activities other than those on the ""Prohibited, Reserved, and Restricted"" lists (please see the schedule parts 1,2,3). However, electricians and electro-technicians are business activities reserved only for Ni-Vanuatu citizens (Section 19, Part 2 of the Schedule). ","Assented December 2019, commencement January 2020, last amended in 2021

","https://tradeportal.gov.vu/media/Foreign%20Investment%20Act%20No%20%2025%20of%202019%20(2).pdf
",,,,0.873
3,3.2,Joint venture requirements,1,Vanuatu Foreign Investment Act No. 25 of 2019 [CAP 248] and Foreign Investment (Amendment) Act No. 32 of 2021,"Article 45 (9) of the Foreign Investment Act No. 25 of 2019 states that ""if the business activities of a foreign investor are expanded more than 3 times in the form of a variation, the foreign investor must enter into joint partnership with a citizen of Vanuatu. The Investment (Amendment) Act 2021 subsection (9) provides the Minister with the power to prescribe conditions for these joint ventures.","Assented December 2019 Commencement January 2020, last amended in 2021","https://tradeportal.gov.vu/media/Foreign%20Investment%20Act%20No%20%2025%20of%202019%20(2).pdf
",http://www.paclii.org/vu/legis/num_act/fia2021299.pdf,,,
3,3.3,Nationality or residency requirements for board of directors or managers,1,Companies Act 2012,"The Companies Act 2012 does not include any provision that mandates that the majority of the board of directors must be nationals or residents (See section 76 Prohibited from managing companies, and section. 82 Qualifications of directors). Foreign investors have freedom to appoint board members of their choice. However, since the amendment in 2018, the company must ensure that at least one director must be a natural person who ordinarily resides in Vanuatu (Section 83(5) of the amended Act, and Section 11 of the 2018 Act). 
","Assented November 2012, commencement August 2015, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/09/Companies-Act-2012-Official-Gazetted-Version.pdf,https://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/ca2018187/,,,
